GivenName,Surname,StreetAddress,City,State,ZipCode,EmailAddress,Gender,BloodType,Pounds
Richard,Edwards,3497 Red Dog Road,Monroe,NC,28112,RichardJEdwards@dodgit.com,male,O+,134
Holly,Ballou,2058 Lakeland Park Drive,Cartersville,GA,30120,HollyJBallou@dodgit.com,female,O+,174.9
Alan,Haddad,3292 Willow Oaks Lane,Lake Charles,LA,70601,AlanFHaddad@pookmail.com,male,A+,213.6
John,Furman,762 Stonepot Road,Piscataway,NJ,08854,JohnKFurman@dodgit.com,male,B+,172.3
Nancy,Gordon,992 Payne Street,Blountville,VA,37617,NancyDGordon@dodgit.com,female,B+,152.5
Karen,Turner,3334 Payne Street,Meadows Of Dan,VA,24120,KarenDTurner@dodgit.com,female,A+,187.9
Maria,Ball,3909 Clair Street,Waco,TX,76710,MariaDBall@dodgit.com,female,B+,154
Douglas,Bender,598 Ray Court,Kenansville,NC,28349,DouglasCBender@mailinator.com,male,O+,223.3
Charles,Strickler,4347 Stanley Avenue,Garden City,NY,11530,CharlesNStrickler@trashymail.com,male,O+,196
Gary,Schubert,1238 Hillhaven Drive,Los Angeles,CA,90071,GaryDSchubert@mailinator.com,male,A+,213.2
Joan,Campion,246 Lodgeville Road,Minneapolis,MN,55401,JoanJCampion@mailinator.com,female,A+,122.3
Richard,Sydow,3713 Long Street,Gainesville,FL,32653,RichardMSydow@spambob.com,male,A+,151.4
Angela,Bucher,4116 Oak Street,East Syracuse,NY,13057,AngelaOBucher@trashymail.com,female,A+,229.2
Mary,Phillips,2602 Tail Ends Road,Ashwaubenon,WI,54304,MaryNPhillips@mailinator.com,female,A+,176.2
Pauline,Hendricks,3714 Clay Street,Indianapolis,IN,46214,PaulineMHendricks@dodgit.com,female,A+,176.7
William,Washington,1696 Lonely Oak Drive,Mobile,AL,36602,WilliamJWashington@dodgit.com,male,B+,243.5
Joseph,Lewis,2960 Red Maple Drive,Irvine,CA,92614,JosephELewis@dodgit.com,male,O+,146.7
Anthony,Green,4021 Parrish Avenue,Santa Clara,CA,95054,AnthonyMGreen@mailinator.com,male,B+,211.4
Margaret,Garcia,85 Westwood Avenue,Huntington,NY,11743,MargaretJGarcia@dodgit.com,female,B+,108.2
Jane,Blanchette,430 Commerce Boulevard,Omaha,NE,68114,JaneJBlanchette@trashymail.com,female,O+,117.3
Christopher,Caldwell,4089 Peck Street,Salem,NH,03079,ChristopherCCaldwell@mailinator.com,male,O+,167.9
Melissa,Elliott,2095 Hartway Street,Highmore,SD,57345,MelissaRElliott@dodgit.com,female,O-,164.6
Benjamin,Hoang,1178 Pinnickinnick Street,Lavallette,NJ,08752,BenjaminTHoang@mailinator.com,male,O+,207.5
Timothy,Walker,3327 Grove Street,Farmingdale,NY,11735,TimothyEWalker@mailinator.com,male,O+,216.7
Larry,Vose,3776 Hart Street,Hartford,CT,06182,LarryLVose@mailinator.com,male,O+,242.9
Richard,Hall,184 Liberty Avenue,Anaheim,CA,92805,RichardEHall@trashymail.com,male,A+,147
Curtis,Wold,1731 Losh Lane,Pittsburgh,PA,15219,CurtisAWold@trashymail.com,male,O+,233.9
Robert,Vaughn,3396 McDonald Avenue,Kissimmee,FL,34741,RobertJVaughn@spambob.com,male,B+,176.4
Tracy,Broussard,4463 Euclid Avenue,Los Angeles,CA,90017,TracyDBroussard@dodgit.com,female,A+,173.6
Annette,Mahan,4742 Hidden Valley Road,Warfordsburg,PA,17267,AnnetteCMahan@dodgit.com,female,O-,168.7
Christopher,McDuffie,1644 Red Maple Drive,South Gate,CA,90280,ChristopherEMcDuffie@mailinator.com,male,O+,145.9
Mary,Bradley,1036 Kincheloe Road,Portland,OR,97232,MaryCBradley@spambob.com,female,A+,146.7
Aida,Dominquez,596 Fleming Way,Richmond,VA,23224,AidaADominquez@spambob.com,female,O+,136.8
Luis,Jones,1213 Big Indian,Kenner,LA,70062,LuisMJones@dodgit.com,male,O+,152
Mason,Benjamin,1160 Aspen Court,Boston,MA,02115,MasonJBenjamin@dodgit.com,male,O+,166.8
Elsie,Mendez,2462 Better Street,Kansas City,KS,66101,ElsieAMendez@dodgit.com,female,AB+,195.4
Victor,Davis,2859 Scott Street,La Grange (Dutchess),NY,12540,VictorODavis@spambob.com,male,B+,209
Amy,Callahan,567 Kemper Lane,Salt Lake City,UT,84104,AmyECallahan@mailinator.com,female,B+,187
Jessica,Ramirez,4713 Capitol Avenue,New Castle,IN,47362,JessicaNRamirez@trashymail.com,female,O+,215.2
Leanne,West,2319 Fancher Drive,Irving,TX,75062,LeanneJWest@dodgit.com,female,B+,203.1
Alexander,Sneed,2627 Spadafore Drive,State College,PA,16803,AlexanderJSneed@trashymail.com,male,B+,241.8
Mabel,Daniels,3641 Bell Street,New York,NY,10019,MabelBDaniels@spambob.com,female,B+,193.2
Raymond,Morehead,423 Goldcliff Circle,Washington,DC,20002,RaymondMMorehead@mailinator.com,male,A+,143
James,Conklin,2691 Circle Drive,Houston,TX,77027,JamesTConklin@trashymail.com,male,B+,209.4
Penny,Gonzalez,765 Pearcy Avenue,Fort Wayne,IN,46804,PennyWGonzalez@trashymail.com,female,O+,134.6
Daniel,Matthews,2834 River Road,Pueblo,CO,81004,DanielMMatthews@mailinator.com,male,O+,138.4
William,Robertson,4469 Neuport Lane,Norcross,GA,30091,WilliamSRobertson@trashymail.com,male,B+,204.2
Darren,Blakeslee,2036 Walkers Ridge Way,West Chicago,IL,60185,DarrenIBlakeslee@mailinator.com,male,B+,145.2
Guillermo,Diaz,3498 Radford Street,Louisville,KY,40244,GuillermoBDiaz@trashymail.com,male,B+,225.9
David,Carrera,3363 Meadow Drive,Missoula,MT,59801,DavidECarrera@pookmail.com,male,A+,132.7
Linda,Thompson,1677 Harrison Street,San Francisco,CA,94103,LindaAThompson@dodgit.com,female,O+,180.6
Eliza,Shockley,4380 Burnside Avenue,Bluff,UT,84512,ElizaBShockley@mailinator.com,female,O+,182.4
Lois,Bray,2307 Oral Lake Road,Chaska,MN,55318,LoisDBray@pookmail.com,female,A+,141.9
Abdul,Bailey,1462 Clifford Street,Dublin,CA,94568,AbdulBBailey@spambob.com,male,O+,208.8
Jerry,Adams,13 Mudlick Road,Willard,WA,98605,JerryEAdams@mailinator.com,male,A+,139.5
Mary,Williams,4076 Hott Street,Oklahoma City,OK,73115,MaryMWilliams@mailinator.com,female,O+,129.6
Nancy,Anderson,1089 Henery Street,Mulvane,KS,67110,NancyRAnderson@pookmail.com,female,B-,169.2
Bethany,Farmer,2687 Elkview Drive,Vero Beach,FL,32960,BethanyJFarmer@dodgit.com,female,O+,181.9
Kristel,Stephens,4256 Parkway Street,Victorville,CA,92392,KristelTStephens@trashymail.com,female,A+,172.5
Harvey,Brown,2545 Hott Street,Moore,OK,73160,HarveyMBrown@dodgit.com,male,A+,200.2
